fold,procedure,status,n_valid,n_total,auc_trap,auc_binormal,sens,spec
0,Logistic,ok,36289,36289,0.906285,0.904899,0.302836,0.994886
1,Logistic,ok,36288,36288,0.900747,0.899911,0.285714,0.995312
2,Logistic,ok,36287,36287,0.901445,0.900048,0.301282,0.994289
3,Logistic,ok,36288,36288,0.913341,0.912447,0.321429,0.994175
4,Logistic,ok,36288,36288,0.888567,0.887651,0.291209,0.994687
pooled,Logistic,ok,181440,181440,0.901736,0.900689,,
