fold,procedure,status,n_valid,n_total,auc_trap,auc_binormal,sens,spec
0,Logistic,ok,8000,8000,0.901052,0.899385,0.282158,0.995618
1,Logistic,ok,8000,8000,0.895493,0.894017,0.290456,0.993427
2,Logistic,ok,8000,8000,0.904311,0.903711,0.327801,0.992783
3,Logistic,ok,8000,8000,0.889809,0.887994,0.302905,0.994845
4,Logistic,ok,8000,8000,0.912063,0.910699,0.300000,0.996005
pooled,Logistic,ok,40000,40000,0.900582,0.899498,,
0,Neural (OBD),ok,8000,8000,0.889179,0.887231,0.336100,0.994458
1,Neural (OBD),ok,8000,8000,0.882771,0.880271,0.340249,0.992783
2,Neural (OBD),ok,8000,8000,0.899805,0.899089,0.344398,0.992396
3,Neural (OBD),ok,8000,8000,0.878094,0.875982,0.311203,0.994200
4,Neural (OBD),ok,8000,8000,0.897876,0.895462,0.345833,0.994974
pooled,Neural (OBD),ok,40000,40000,0.888217,0.886622,,
