fold,procedure,status,n_valid,n_total,auc_trap,auc_binormal,sens,spec
0,Logistic,ok,40813,40813,0.914663,0.913609,0.332786,0.994318
1,Logistic,ok,40813,40813,0.892213,0.891587,0.285127,0.993787
2,Logistic,ok,40811,40811,0.905253,0.904082,0.282072,0.995151
3,Logistic,ok,40814,40814,0.899527,0.898242,0.284893,0.994974
4,Logistic,ok,40811,40811,0.897575,0.896250,0.279376,0.995050
pooled,Logistic,ok,204062,204062,0.901638,0.900586,,
