fold,procedure,status,n_valid,n_total,auc_trap,auc_binormal,sens,spec
0,Neural (OBD),ok,2000,2000,0.872543,0.870543,0.316667,0.990206
1,Neural (OBD),ok,2000,2000,0.868058,0.863805,0.283333,0.994845
2,Neural (OBD),ok,2000,2000,0.878034,0.876250,0.377049,0.992780
3,Neural (OBD),ok,2000,2000,0.899313,0.895220,0.250000,0.995876
4,Neural (OBD),ok,2000,2000,0.917070,0.911468,0.416667,0.992784
pooled,Neural (OBD),ok,10000,10000,0.886239,0.883932,,
